"Comment","Designator","Footprint","LCSC Part #"
"K1-1506SN-01","SW1","KEY-SMD","C145910"
"SGP30","U12","DFN-6_EP_2.5x2.5x0.8P","C514454"
"PPSI262","U6","SENSOR-SMD","C328758"
"RM-V8xxC_TR1","U7","OPTO-SMD","C264267"
"LED-IR","D18","LED-SMD","C390032"
